,lat,long,total_bikes
0,43.661705,-79.425734,11
0,43.6686111,-79.42027777777778,19
0,43.665327,-79.43235,19
0,43.657343,-79.43112,19
0,43.645324,-79.40345,25
0,43.650256,-79.36163,15
0,43.651111111111106,-79.4213888888889,19
0,43.656296,-79.414663,15
0,43.649722,-79.416944,23
0,43.651281,-79.411717,13
0,43.65277778,-79.42972222,15
0,43.655,-79.418889,19
0,43.668553,-79.338673,19
0,43.663912,-79.327987,19
0,43.6462176,-79.3855048,15
0,43.69595,-79.328535,19
0,43.6753188,-79.3462789,15
0,43.6720273,-79.3470557,11
0,43.637981,-79.424146,19
0,43.640885,-79.416379,11
0,43.6552778,-79.36583333333333,15
0,43.6712581,-79.376367,15
0,43.664524,-79.36793,15
0,43.665867,-79.362506,15
0,43.648575,-79.380042,19
0,43.643473,-79.390477,15
0,43.645859,-79.38783,27
0,43.662132,-79.3656796,23
0,43.640722,-79.391051,11
0,43.66207,-79.37617,14
0,43.660206,-79.3244,11
0,43.668633,-79.291162,15
0,43.665801,-79.384796,12
0,43.668153,-79.38891,20
0,43.657024,-79.377257,15
0,43.662862,-79.383572,18
0,43.652276,-79.380701,11
0,43.7063473,-79.40161,20
0,43.6978701,-79.39419,20
0,43.696708,-79.40045,19
0,43.6476616,-79.37549,10
0,43.6487245,-79.36839,19
0,43.667819,-79.35347,15
0,43.663102,-79.373181,17
0,43.64852,-79.380576,39
0,43.656026,-79.385327,15
0,43.645323,-79.395003,19
0,43.677778,-79.405556,15
0,43.641646,-79.375308,31
0,43.646162,-79.378912,11
0,43.687323,-79.304848,15
0,43.668991,-79.379385,23
0,43.6622222,-79.3825,15
0,43.64333333333333,-79.40555555555557,15
0,43.6575,-79.39527777777778,23
0,43.657424,-79.381019,22
0,43.64595,-79.378761,19
0,43.668427,-79.38725,20
0,43.669604,-79.381171,20
0,43.661673,-79.337789,16
0,43.665656,-79.352055,18
0,43.6308933,-79.4722622,23
0,43.6224434,-79.480284,31
0,43.66986,-79.398443,15
0,43.659471,-79.350325,12
0,43.650492,-79.450842,19
0,43.640255,-79.439223,16
0,43.637922,-79.431734,16
0,43.643769,-79.447915,18
0,43.649172,-79.4445087,16
0,43.663912,-79.416124,20
0,43.6458569,-79.3853654,27
0,43.66587,-79.33443,16
0,43.658816,-79.367318,19
0,43.654004,-79.444792,20
0,43.6397,-79.44865,19
0,43.653809,-79.3595,12
0,43.673768,-79.391253,12
0,43.654074,-79.398115,17
0,43.656638,-79.358749,19
0,43.716652,-79.399993,11
0,43.684261,-79.299332,23
0,43.678685,-79.297974,12
0,43.65143,-79.47779,15
0,43.64976,-79.48477,15
0,43.664182,-79.449066,20
0,43.64407,-79.3929,23
0,43.61868,-79.48674,15
0,43.6442,-79.38702,18
0,43.64283,-79.38409,14
0,43.65182,-79.47421,19
