,lat,long,total_bikes,restaurant_name,distance,rating,location
207,43.662132,-79.3656796,23.0,The Keg Steakhouse + Bar,3497,8.7,26 the Esplanade
208,43.640722,-79.391051,11.0,Pai,4499,9.2,18 Duncan St
209,43.66207,-79.37617,14.0,Chotto Matte,3806,8.8,161 Bay St
210,43.660206,-79.3244,11.0,House on Parliament,3040,8.9,454 Parliament St
211,43.668633,-79.291162,15.0,The Keg Steakhouse & Bar,3150,8.9,515 Jarvis St
212,43.665801,-79.384796,12.0,Te Aro,3344,8.9,983 Queen St E
213,43.668153,-79.38891,20.0,Neo Coffee Bar,4443,9.0,161 Frederick St
214,43.657024,-79.377257,15.0,The Library Specialty Coffee,4854,8.9,281 Dundas St W
215,43.662862,-79.383572,18.0,Pai,5348,9.2,18 Duncan St
216,43.652276,-79.380701,11.0,HotBlack Coffee,5121,9.0,245 Queen St W
217,43.7063473,-79.40161,20.0,Hair of the Dog,3567,8.5,425 Church St
218,43.6978701,-79.39419,20.0,Eataly,3505,8.4,55 Bloor St W
219,43.696708,-79.40045,19.0,The Keg Steakhouse + Bar,4970,8.8,165 York St
220,43.6476616,-79.37549,10.0,HotBlack Coffee,855,9.0,245 Queen St W
221,43.6487245,-79.36839,19.0,Pai,1049,9.2,18 Duncan St
222,43.667819,-79.35347,15.0,The Library Specialty Coffee,831,8.9,281 Dundas St W
223,43.663102,-79.373181,17.0,The Keg Steakhouse + Bar,665,8.8,165 York St
224,43.64852,-79.380576,39.0,Neo Coffee Bar,1056,9.0,161 Frederick St
225,43.656026,-79.385327,15.0,Chotto Matte,1006,8.8,161 Bay St
226,43.645323,-79.395003,19.0,Cafe Landwer,833,8.7,165 University Ave
227,43.677778,-79.405556,15.0,Sukho Thai,914,8.7,52 Wellington St E
228,43.641646,-79.375308,31.0,Walrus Pub & Beer Hall,899,8.7,187 Bay St
229,43.646162,-79.378912,11.0,House on Parliament,1375,8.9,454 Parliament St
230,43.687323,-79.304848,15.0,Neo Coffee Bar,1014,9.0,161 Frederick St
231,43.668991,-79.379385,23.0,Pai,1287,9.2,18 Duncan St
232,43.6622222,-79.3825,15.0,HotBlack Coffee,1095,9.0,245 Queen St W
233,43.64333333333333,-79.40555555555557,15.0,The Library Specialty Coffee,1035,8.9,281 Dundas St W
234,43.6575,-79.39527777777778,23.0,House on Parliament,1135,8.9,454 Parliament St
235,43.657424,-79.381019,22.0,The Keg Steakhouse + Bar,893,8.8,165 York St
236,43.64595,-79.378761,19.0,The Keg Steakhouse & Bar,1092,8.9,515 Jarvis St
237,43.668427,-79.38725,20.0,Sukho Thai,990,8.7,52 Wellington St E
238,43.669604,-79.381171,20.0,Chotto Matte,1161,8.8,161 Bay St
239,43.661673,-79.337789,16.0,Walrus Pub & Beer Hall,1064,8.7,187 Bay St
240,43.665656,-79.352055,18.0,The Good Neighbour,1730,8.8,238 Annette St
241,43.6308933,-79.4722622,23.0,Communist's Daughter,2653,8.6,1149 Dundas St W
242,43.6224434,-79.480284,31.0,Sneaky Dee's,3431,8.6,431 College St
